With filtering out non-convergence results
(10, 'hilbert')
110:  {'name': 'pgmres with cholesky', 'time': 0.00011920928955078125, 'residual_norm': 0.001471936086518866, 'num_of_iterations': 1}
111:  {'name': 'qmrcgs with cholesky', 'time': 5.125999450683594e-05, 'residual_norm': 0.0014776769004193058, 'num_of_iterations': 1}
112:  {'name': 'none with cholesky', 'time': 1.4543533325195312e-05, 'residual_norm': 0.0014787742561116928, 'num_of_iterations': 1}
113:  {'name': 'preonly with cholesky', 'time': 1.4066696166992188e-05, 'residual_norm': 0.0014787742561116928, 'num_of_iterations': 1}
114:  {'name': 'lcd with lu', 'time': 7.081031799316406e-05, 'residual_norm': 0.0014972306957082026, 'num_of_iterations': 2}
115:  {'name': 'lcd with redundant', 'time': 6.866455078125e-05, 'residual_norm': 0.0014972306957082026, 'num_of_iterations': 2}
116:  {'name': 'fcg with asm', 'time': 0.0009179115295410156, 'residual_norm': 0.0014973084111782544, 'num_of_iterations': 32}
117:  {'name': 'fcg with bjacobi', 'time': 0.0006322860717773438, 'residual_norm': 0.0014973084111782544, 'num_of_iterations': 32}
118:  {'name': 'fcg with gasm', 'time': 0.000720977783203125, 'residual_norm': 0.0014973084111782544, 'num_of_iterations': 32}
119:  {'name': 'fcg with ilu', 'time': 0.0004036426544189453, 'residual_norm': 0.0014973084111782544, 'num_of_iterations': 32}
120:  {'name': 'fcg with telescope', 'time': 0.0007281303405761719, 'residual_norm': 0.0014973084111782544, 'num_of_iterations': 32}
121:  {'name': 'minres with ksp', 'time': 0.00011992454528808594, 'residual_norm': 0.001510549816742638, 'num_of_iterations': 2}
122:  {'name': 'minres with redistribute', 'time': 0.0001533031463623047, 'residual_norm': 0.001510549816742638, 'num_of_iterations': 2}
123:  {'name': 'minres with icc', 'time': 5.602836608886719e-05, 'residual_norm': 0.00151331709437397, 'num_of_iterations': 2}
124:  {'name': 'bcgsl with asm', 'time': 0.0003809928894042969, 'residual_norm': 0.001518790398442585, 'num_of_iterations': 4}
125:  {'name': 'bcgsl with bjacobi', 'time': 0.0003631114959716797, 'residual_norm': 0.001518790398442585, 'num_of_iterations': 4}
